id,name,type
1601033,"Mayo High School For Math, Science & Technology",school
1601034,J. L. Cain Elementary,school
1601036,Bay Road Elementary School,school
1601037,Lamar-Spaulding Elementary School,school
1703019,Latta High School,school
1703021,Latta Middle School,school
1703024,Latta Elementary School,school
1704002,Lake View High School,school
1704003,Lake View Elementary School,school
1704005,Dillon High School,school
1704009,Gordon Elementary School,school
1704010,Dillon Middle School,school
1802006,Summerville High School,school
1802007,Knightsville Elementary School,school
1802009,Summerville Elementary School,school
1802010,James H. Spann Elementary School,school
1802011,Alston Middle School,school
1802012,Rollings Middle School Of The Arts,school
1802013,Newington Elementary School,school
1802014,Flowertown Elementary School,school
1802016,Charles Dubose Middle School,school
1802017,Oakbrook Elementary School,school
1802018,Oakbrook Middle School,school
1802019,Windsor Hill Arts Infused Elementary,school
1802020,Fort Dorchester High School,school
1802021,Beech Hill Elementary School,school
1802022,Gregg Middle School,school
1802023,Fort Dorchester Elementary School,school
1802024,Eagle Nest Elementary School,school
1802025,William Reeves Elementary,school
1802026,River Oaks Middle School,school
1802027,Ashley Ridge High School,school
1802028,Joseph R. Pye Elementary,school
1802029,Sand Hill Elementary School,school
1802030,Dr. Eugene Sires Elementary,school
1802031,Alston-Bailey Elementary,school
1804016,Harleyville Elementary School,school
1804017,St. George Middle School,school
1804018,Williams Memorial Elementary School,school
1804019,Woodland High School,school
1804021,Clay Hill Elementary School,school
1804022,Harleyville-Ridgeville Middle School,school
1901002,Strom Thurmond High School,school
1901003,Douglas Elementary School,school
1901005,Johnston Elementary School,school
1901007,W. E. Parker Elementary School,school
1901008,Merriwether Elementary School,school
1901009,Johnston-Edegfield-Trenton Middle School,school
1901010,Merriwether Middle School,school
2001001,Fairfield Middle School,school
2001008,Kelly Miller Elementary School,school
2001009,Mccrorey-Liston School Of Technology,school
2001012,Geiger Elementary,school
2001013,Fairfield Central High School,school
2001014,Fairfield Elementary School,school
2001015,Fairfield Magnet School For Math And Science,school
2101002,John W. Moore Middle School,school
2101004,South Florence High School,school
2101005,Williams Middle School,school
2101006,Wilson High School,school
2101008,Briggs Elementary School,school
2101009,Carver Elementary Magnet School,school
2101010,Delmae Heights Elementary School,school
2101011,Greenwood Elementary School,school
2101012,Mclaurin Elementary,school
2101013,Theodore Lester Elementary,school
2101014,West Florence Hs,school
2101016,North Vista Elementary,school
2101017,Royall Elementary School,school
2101018,Savannah Grove Elementary School,school
2101019,Dewey L. Carter Elementary School,school
2101020,Henry Timrod Elementary School,school
2101021,Wallace Gregg Elementary,school
2101022,Southside Middle School,school
2101050,Henry L. Sneed Middle,school
2101051,Lucy T. Davis Elementary School,school
2101600,Palmetto Youth Academy Charter,school
2102024,Hannah - Pamplico High School,school
2102028,Hannah-Pamplico Elementary/Middle Schoo,school
2103029,Lake City High School,school
2103036,J. C. Lynch Elementary School,school
2103037,Olanta Creative Arts And Science Magnet School,school
2103039,Scranton Elementary Steam Academy,school
2103051,Main Street Elementary,school
2103053,Florence School District 3; Dr. Ronald E. Mcnair Junior High Scho,school
2103054,J. Paul Truluck Creative Arts And Science Magnet School,school
2104041,Timmonsville High,school
2104042,Johnson Middle,school
2104043,Brockington Elementary,school
2105045,Johnsonville High School,school
2105047,Johnsonville Elementary School,school
2105049,Johnsonville Middle School,school
2201001,Andrews High School,school
2201004,Georgetown High,school
2201008,Andrews Elementary School,school
2201009,Brown's Ferry Elementary School,school
2201012,Pleasant Hill Elementary School,school
2201013,Georgetown Middle School,school
2201014,Kensington Elementary School,school
2201015,Maryville Elementary,school
2201016,Mcdonald Elementary School,school
2201020,Plantersville Elementary,school
2201022,Rosemary Middle School,school
2201023,Sampit Elementary,school
2201025,Waccamaw High School,school
2201026,Carver Bay High School,school
2201027,Carvers Bay Middle,school
2201028,Waccamaw Middle School,school
2201029,Waccamaw Intermediate School,school
2201601,Coastal Montessori Charter,school
2301002,Berea High School,school
2301003,Blue Ridge High School,school
2301005,Carolina High School,school
2301006,Eastside High,school
2301008,"Greenville Senior High Academy Of Law, Finance And Business",school
2301009,Greer High School,school
2301010,Wade Hampton High School,school
2301011,Hillcrest Middle School,school
2301012,Hillcrest High School,school
2301013,J. L. Mann High School,school
2301014,Mauldin High School,school
2301017,Riverside High School,school
2301018,Southside High School,school
2301020,Travelers Rest High School,school
2301023,Woodmont High School,school
2301024,Bryson Middle,school
2301027,Gateway Elementary School,school
2301028,Alexander Elementary,school
2301029,Beck International Academy,school
2301030,Brook Glenn Elementary School,school
2301031,Armstrong Elementary,school
2301034,Augusta Circle Elementary,school
2301036,Berea Elementary School,school
2301037,Bethel Elementary School,school
2301038,Blythe Academy,school
2301039,Brushy Creek Elementary School,school
2301040,Bryson Elementary School,school
2301042,Berea Middle School,school
2301043,Sue Cleveland Elementary School,school
2301044,Sara Collins Elementary,school
2301046,Plain Elementary School,school
2301047,Crestview Elementary School,school
2301051,Duncan Chapel Elementary,school
2301052,Woodmont Middle School,school
2301054,East North Street Academy,school
2301057,Fork Shoals School,school
2301058,Fountain Inn Elementary School,school
2301059,Greenville Middle Academy Of Traditional & Global Studies,school
2301060,Greer Middle School,school
2301061,Hollis Academy,school
2301062,Hughes Academy Of Science And Technology,school
2301063,Lake Forest Elementary School,school
2301066,Lakeview Middle School,school
2301067,Mauldin Elementary School,school
2301068,Mitchell Road Elementary,school
2301069,Monaview Elementary School,school
2301071,Mountain View Elementary,school
2301074,Northwood Middle School,school
2301076,Paris Elementary School,school
2301077,Northwest Middle,school
2301078,League Academy Of Communication Arts,school
2301079,Pelham Road Elementary,school
2301081,Simpsonville Elementary School,school
2301083,Skyland Elementary School,school
2301084,Slater Marietta Elementary School,school
2301085,Stone Academy Of Communication Arts,school
2301086,Sevier Middle School,school
2301087,Summit Drive Elementary,school
2301088,Tanglewood Middle School,school
2301089,Taylors Elementary School,school
2301090,Tigerville Elementary,school
2301093,Buena Vista Elementary,school
2301095,Welcome Elementary,school
2301098,Westcliffe Elementary,school
2301099,Woodland Elementary,school
2301100,Ellen Woodside,school
2301101,Greenbrier Elementary,school
2301104,Grove Elementary School,school
2301106,Blue Ridge Middle School ,school
2301107,Heritage Elementary School,school
2301108,Oakview Elementary School,school
2301109,Chandler Creek Elementary School,school
2301110,Mauldin Middle School,school
2301111,Riverside Middle School,school
2301112,Bell's Crossing,school
2301113,Robert E. Cashion Elementary,school
2301114,Cherrydale Elementary,school
2301115,Thomas E. Kerns Elementary School,school
2301116,Sterling School,school
2301117,Rudolph Gordon School At Jones Mill,school
2301118,Ralph Chandler Middle,school
2301119,A.J. .Whittenberg Elementary School Of Engineering,school
2301120,Monarch,school
2301121,Dr. Phinnize J. Fisher Middle School,school
2301612,Langston Charter Middle School,school
2301902,Washington Center School,school
2450001,Emerald High School,school
2450002,Greenwood High School,school
2450003,Northside Middle School,school
2450008,Eleanor S. Rice Elementary School,school
2450009,Lakeview Elementary School,school
2450011,Mathews Elementary School,school
2450012,Merrywood Elementary,school
2450014,Pinecrest Elementary School,school
2450016,Hodges Elementary School,school
2450017,Brewer Middle School,school
2450018,Woodfields Elementary,school
2450028,Dr. Benjamin E. Mays Elementary School,school
2450029,Westview Middle School,school
2451020,Ware Shoals High School,school
2451022,Ware Shoals Primary School,school
2451024,Ware Shoals Elementary Middle School,school
2452025,Ninety Six High School,school
2452026,Edgewood Middle School,school
2452027,Ninety Six Elementary School,school
2501001,Wade Hampton High School,school
2501004,Brunson Elementary School,school
2501006,Hampton Elementary School,school
2501008,North District Middle School,school
2501010,Fennell Elementary School,school
2502011,Estill High School,school
2502014,Estill Middle,school
2502017,Estill Elementary,school
2601001,Aynor High School,school
2601002,North Myrtle Beach High Shool,school
2601004,Conway High School,school
2601006,Green Sea Floyds High School,school
2601008,Loris High School,school
2601010,Myrtle Beach High School,school
2601011,Socastee High School,school
2601013,Whittemore Park Middle,school
2601014,Aynor Elementary School,school
2601016,Myrtle Beach Middle School,school
2601017,Conway Middle School,school
2601021,Daisy Elementary,school
2601023,Green Sea Floyds Elementary School,school
2601025,Homewood Elementary,school
2601027,Loris Middle School,school
2601028,Kingston Elementary,school
2601029,Lakewood Elementary School,school
2601030,St James Elementary School,school
2601032,Loris Elementary,school
2601033,Midland Elementary School,school
2601036,Conway Elementary School,school
2601037,North Myrtle Beach Middle School,school
2601039,Pee Dee Elementary,school
2601042,Waccamaw Elementary School,school
2601045,South Conway Elementary,school
2601046,Forestbrook Elementary,school
2601047,St. James Middle School,school
2601049,Carolina Forest Elementary School,school
2601050,Seaside Elementary School,school
2601051,Forestbrook Middle School,school
2601052,Carolina Forest High School,school
2601054,Socastee Elementary,school
2601056,Palmetto Bays Elementary,school
2601057,Aynor Middle School,school
2601058,St. James High School,school
2601060,Ocean Bay Elementary,school
