school_id,district,school,total_actively_enrolled_students,gender_female,gender_male,gender_missing,black_or_african_american,white,pupils_in_poverty,year,all_other_races
0701032,Beaufort 01,"Hilton Head Is. Ele. School for 
Creativ",595,308,287,0,105,207,368,2021,283
0701033,Beaufort 01,Hilton Head Is. Elem,773,361,412,0,73,252,468,2021,448
0701034,Beaufort 01,Red Cedar Elementary,586,299,287,0,66,202,356,2021,318
0701035,Beaufort 01,Bluffton Middle,844,396,448,0,96,305,508,2021,443
0701036,Beaufort 01,Whale Branch Early College Hig,423,237,186,0,347,28,338,2021,48
0701037,Beaufort 01,Pritchardville Elem,907,436,471,0,73,541,368,2021,293
0701038,Beaufort 01,River Ridge Academy,1108,522,586,0,106,603,467,2021,399
0701039,Beaufort 01,May River High,1432,715,717,0,183,805,523,2021,444
0701040,Beaufort 01,"Robert Smalls International
Academy",641,322,319,0,296,119,509,2021,226
0701601,Beaufort 01,Riverview Charter School,674,312,362,0,171,359,276,2021,144
0801001,Berkeley 01,Stratford High,2317,1098,1219,0,596,1020,1328,2021,701
0801002,Berkeley 01,Berkeley High,1712,867,845,0,644,809,957,2021,259
0801006,Berkeley 01,Cross High,287,125,162,0,194,65,243,2021,28
0801007,Berkeley 01,Goose Creek High,1749,898,851,0,655,568,1068,2021,526
0801008,Berkeley 01,Hanahan High,903,391,512,0,112,514,411,2021,277
0801011,Berkeley 01,Berkeley Elem,543,272,271,0,183,281,421,2021,79
0801012,Berkeley 01,Berkeley Middle,1454,687,767,0,574,681,911,2021,199
0801014,Berkeley 01,Boulder Bluff Elem,656,304,352,0,256,218,463,2021,182
0801015,Berkeley 01,Cainhoy Elem Middle,165,71,94,0,132,19,151,2021,14
0801016,Berkeley 01,Cross Elem,330,151,179,0,208,83,299,2021,39
0801017,Berkeley 01,College Park Elem,876,414,462,0,214,260,694,2021,402
0801020,Berkeley 01,J K Gourdin Elem,103,57,46,0,95,4,93,2021,4
0801021,Berkeley 01,Hanahan Middle,796,399,397,0,117,395,405,2021,284
0801022,Berkeley 01,Westview Middle,945,458,487,0,202,488,518,2021,255
0801023,Berkeley 01,Sangaree Elem,651,318,333,0,168,279,480,2021,204
0801024,Berkeley 01,Henry E Bonner Elem,646,315,331,0,109,472,495,2021,65
0801027,Berkeley 01,Sedgefield Middle,1060,494,566,0,411,261,791,2021,388
0801028,Berkeley 01,St Stephen Elem,331,160,171,0,221,73,298,2021,37
0801029,Berkeley 01,St Stephen Middle,225,106,119,0,160,56,205,2021,9
0801030,Berkeley 01,Whitesville Elem,963,453,510,0,341,419,656,2021,203
0801031,Berkeley 01,Westview Elem,536,257,279,0,84,291,271,2021,161
0801032,Berkeley 01,College Park Middle,823,379,444,0,265,250,628,2021,308
0801033,Berkeley 01,Marrington Elementary School,410,206,204,0,65,253,62,2021,92
0801034,Berkeley 01,Marrington Middle School Arts,379,238,141,0,70,249,98,2021,60
0801036,Berkeley 01,Howe Hall AIMS Elem,413,231,182,0,49,284,121,2021,80
0801037,Berkeley 01,Macedonia Middle,345,161,184,0,67,258,224,2021,20
0801038,Berkeley 01,Sangaree Intermed,583,291,292,0,166,263,424,2021,154
0801039,Berkeley 01,Devon Forest Elem,1014,493,521,0,361,320,750,2021,333
0801040,Berkeley 01,Mount Holly Elementary,555,272,283,0,196,141,427,2021,218
0801041,Berkeley 01,Berkeley Intermed,617,326,291,0,259,283,465,2021,75
0801043,Berkeley 01,Timberland High,568,271,297,0,279,256,412,2021,33
0801044,Berkeley 01,Hanahan Elem,1023,467,556,0,233,393,717,2021,397
0801045,Berkeley 01,Westview Primary,717,323,394,0,209,298,487,2021,210
0801046,Berkeley 01,Goose Creek Elementary,929,442,487,0,301,152,712,2021,476
0801047,Berkeley 01,Sangaree Middle,844,425,419,0,246,373,534,2021,225
0801048,Berkeley 01,Daniel Island School,1146,528,618,0,36,1004,116,2021,106
0801049,Berkeley 01,Cane Bay High,1851,902,949,0,410,1039,744,2021,402
0801050,Berkeley 01,Cane Bay Elementary,1225,577,648,0,156,799,414,2021,270
0801051,Berkeley 01,Berkeley County Middle College,111,68,43,0,22,69,44,2021,20
0801052,Berkeley 01,Cane Bay Middle,1367,684,683,0,231,841,514,2021,295
0801053,Berkeley 01,Nexton Elementary,922,454,468,0,200,514,480,2021,208
0801054,Berkeley 01,Phillip Simmons Elementary,432,211,221,0,63,320,131,2021,49
0801055,Berkeley 01,Phillip Simmons Middle,411,201,210,0,132,227,180,2021,52
0801056,Berkeley 01,Philip Simmons High,648,318,330,0,176,410,199,2021,62
0801057,Berkeley 01,Bowen's Corner Elementary,743,360,383,0,70,468,272,2021,205
0801058,Berkeley 01,Foxbank Elementary,980,471,509,0,225,554,505,2021,201
0901001,Calhoun 01,Calhoun County High,412,201,211,0,269,111,327,2021,32
0901008,Calhoun 01,Sandy Run School,565,267,298,0,194,328,408,2021,43
0901009,Calhoun 01,St Matthews K-8 School,603,293,310,0,441,93,511,2021,69
1001001,Charleston 01,Baptist Hill High,568,278,290,0,430,39,503,2021,99
1001002,Charleston 01,N Charleston High,732,363,369,0,598,37,664,2021,97
1001010,Charleston 01,Burke High,368,197,171,0,355,6,344,2021,7
1001014,Charleston 01,Wando High,3225,1596,1629,0,300,2661,584,2021,262
1001018,Charleston 01,Military Magnet Academy,479,197,282,0,318,15,409,2021,146
1001020,Charleston 01,St Johns High,386,173,213,0,189,72,312,2021,124
1001022,Charleston 01,R B Stall High,1633,800,833,0,815,150,1287,2021,668
1001030,Charleston 01,Northwoods Middle,899,448,451,0,498,65,767,2021,335
1001033,Charleston 01,Chicora Elem,334,173,161,0,303,5,325,2021,26
1001036,Charleston 01,A C Corcoran Elem,694,349,345,0,454,92,585,2021,148
1001039,Charleston 01,Jane Edwards Elem,73,42,31,0,44,21,63,2021,8
1001040,Charleston 01,Mary Ford Elem,218,113,105,0,203,3,213,2021,12
1001042,Charleston 01,W B Goodwin Elem,379,160,219,0,178,23,320,2021,177
1001043,Charleston 01,Harbor View Elem,625,300,325,0,74,484,244,2021,67
1001044,Charleston 01,Haut Gap Middle,508,265,243,0,155,214,319,2021,138
1001045,Charleston 01,Minnie Hughes Elem,173,95,78,0,155,7,160,2021,11
1001046,Charleston 01,Hunley Park Elem,400,197,203,0,209,52,294,2021,138
1001050,Charleston 01,Ladson Elem,830,406,424,0,387,154,649,2021,288
1001051,Charleston 01,Laing Middle,1060,486,574,0,136,850,205,2021,71
1001052,Charleston 01,Lambs Elem,334,167,167,0,134,68,211,2021,132
1001056,Charleston 01,St James-Santee Elem,211,93,118,0,172,33,190,2021,6
1001057,Charleston 01,Memminger Elem,310,150,160,0,238,59,246,2021,13
1001058,Charleston 01,Midland Park Primary,286,146,140,0,105,11,261,2021,170
1001059,Charleston 01,Ellington Elem,323,173,150,0,202,41,283,2021,79
1001060,Charleston 01,Mitchell Elem,263,131,132,0,244,12,250,2021,7
1001061,Charleston 01,Jennie Moore Elem,976,505,471,0,128,760,237,2021,88
1001062,Charleston 01,Morningside Middle,700,342,358,0,457,26,597,2021,217
1001063,Charleston 01,Mt Pleasant Academy,554,258,296,0,26,479,94,2021,49
1001065,Charleston 01,Moultrie Middle,996,485,511,0,99,814,235,2021,79
1001066,Charleston 01,Murray LaSaine Montessori School,373,193,180,0,45,307,159,2021,20
1001067,Charleston 01,North Charleston Elem,322,135,187,0,221,32,294,2021,67
1001068,Charleston 01,Oakland Elem,528,250,278,0,192,248,300,2021,87
1001070,Charleston 01,"Malcolm C. Hursey Montessori
School",394,198,196,0,148,168,230,2021,77
1001072,Charleston 01,Matilda Dunston Elem,386,197,189,0,193,43,315,2021,150
1001075,Charleston 01,Edith L Frierson Elem,143,71,72,0,80,40,100,2021,21
1001076,Charleston 01,Sanders-Clyde Elem,387,175,212,0,370,6,377,2021,11
1001077,Charleston 01,Pepperhill Elem,541,254,287,0,331,51,455,2021,158
1001079,Charleston 01,James Simon Montessori School,388,178,210,0,173,192,205,2021,22
1001081,Charleston 01,Springfield Elem,633,318,315,0,246,260,430,2021,126
1001082,Charleston 01,St Andrew's Math and Science,696,343,353,0,201,394,307,2021,96
1001083,Charleston 01,Angel Oak Elem,640,295,345,0,145,344,391,2021,151
1001084,Charleston 01,Stiles Point Elem,669,346,323,0,42,587,125,2021,38
1001085,Charleston 01,Stono Park Elem,418,209,209,0,302,62,375,2021,53
1001086,Charleston 01,Sullivan's Island Elem,473,225,248,0,2,439,52,2021,32
1001090,Charleston 01,Mamie Whitesides Elem,731,367,364,0,59,605,143,2021,67
1001091,Charleston 01,Ashley River Creative Arts,576,305,271,0,71,434,166,2021,69
1001092,Charleston 01,"C.E. Williams Middle School for 
Creative and Scientific Arts",1247,589,658,0,596,459,823,2021,191
1001093,Charleston 01,James B Edwards Elem,703,337,366,0,68,565,203,2021,70
1001094,Charleston 01,Buist Academy,537,255,282,0,68,411,108,2021,58
1001095,Charleston 01,Mt Zion Elem,257,131,126,0,81,70,212,2021,105
1001096,Charleston 01,Belle Hall Elem,640,318,322,0,57,510,117,2021,73
1001098,Charleston 01,Charleston School Of The Arts,1106,738,368,0,150,769,255,2021,187
1001099,Charleston 01,Academic Magnet High,695,370,325,0,24,544,66,2021,127
1001101,Charleston 01,Charleston Progressive,261,124,137,0,256,2,244,2021,3
1001102,Charleston 01,Charles Pinckney Elem,634,306,328,0,23,556,94,2021,55
1001103,Charleston 01,Thomas C. Cario Middle,1153,566,587,0,65,981,176,2021,107
1001104,Charleston 01,West Ashley High,1690,794,896,0,713,762,964,2021,215
1001107,Charleston 01,James Island Elem,497,244,253,0,158,301,265,2021,38
1001109,Charleston 01,Drayton Hall Elem,598,293,305,0,74,429,223,2021,95
1001110,Charleston 01,Laurel Hill Primary,566,253,313,0,19,473,120,2021,74
1001111,Charleston 01,Jerry Zucker Middle School Sci,563,284,279,0,310,47,481,2021,206
1001112,Charleston 01,Pinehurst Elementary,728,345,383,0,164,36,591,2021,526
1001113,Charleston 01,Montessori Community School,266,124,142,0,11,235,47,2021,18
1001114,Charleston 01,N. Charleston Creative Arts Elem,494,264,230,0,267,144,334,2021,80
1001115,Charleston 01,Simmons Pinckney Middle School,264,129,135,0,248,6,259,2021,10
1001116,Charleston 01,Deer Park Middle,407,193,214,0,216,63,327,2021,128
1001117,Charleston 01,Carolina Park Elementary,911,460,451,0,66,747,141,2021,97
1001118,Charleston 01,Camp Road Middle School,809,382,427,0,154,602,313,2021,52
1001121,Charleston 01,Lucy Garrett Beckham High,746,356,390,0,74,609,150,2021,63
1001200,Charleston 01,Meeting Street Elementary School,1057,538,519,0,855,44,949,2021,158
1001612,Charleston 01,Charleston Develop. Charter,164,78,86,0,158,3,136,2021,3
1001614,Charleston 01,East Cooper Montessori Charter,400,212,188,0,18,352,78,2021,30
1001615,Charleston 01,Greg Mathis Charter High,64,36,28,0,63,1,63,2021,0
1001616,Charleston 01,James Island Charter High,1546,743,803,0,331,1058,580,2021,156
1001618,Charleston 01,Orange Grove Charter,1165,568,597,0,135,901,284,2021,114
1001620,Charleston 01,Charleston Charter Math/Scienc,552,263,289,0,313,185,330,2021,54
1001628,Charleston 01,Pattison's Acad For Compr Edu,41,20,21,0,15,17,37,2021,9
1001629,Charleston 01,Carolina Voyager Charter,381,181,200,0,99,234,172,2021,47
1001630,Charleston 01,Allegro Charter Sch of Music,199,92,107,0,106,72,117,2021,21
1101001,Cherokee 01,Blacksburg High,519,267,252,0,53,441,328,2021,25
1101002,Cherokee 01,John E Ewing Middle,522,264,258,0,151,320,409,2021,51
1101003,Cherokee 01,Gaffney High,1690,807,883,0,519,983,1128,2021,188
1101005,Cherokee 01,Alma Elem,160,78,82,0,60,80,141,2021,20
1101007,Cherokee 01,Blacksburg Middle,409,209,200,0,42,334,290,2021,33
1101009,Cherokee 01,Corinth Elem,322,170,152,0,10,286,239,2021,26
1101010,Cherokee 01,Draytonville Elem,202,92,110,0,32,146,171,2021,24
1101011,Cherokee 01,Mary Bramlett Elem,215,102,113,0,129,50,195,2021,36
1101012,Cherokee 01,Goucher Elem,225,107,118,0,4,199,181,2021,22
1101015,Cherokee 01,B D Lee Elem,335,167,168,0,249,59,303,2021,27
1101019,Cherokee 01,Luther L Vaughan  Elem,329,146,183,0,149,61,295,2021,119
1101020,Cherokee 01,Blacksburg Elem,330,163,167,0,28,264,250,2021,38
1101021,Cherokee 01,Limestone/Central Elem,326,156,170,0,144,138,271,2021,44
1101022,Cherokee 01,Grassy Pond Elem,430,212,218,0,100,253,286,2021,77
1101023,Cherokee 01,Northwest Elem,393,204,189,0,28,327,260,2021,38
1101024,Cherokee 01,Gaffney Middle,1011,478,533,0,323,547,698,2021,141
1101025,Cherokee 01,Blacksburg Primary,360,182,178,0,43,283,290,2021,34
1201002,Chester 01,Chester Sr High,742,363,379,0,397,281,558,2021,64
1201004,Chester 01,Chester Middle,594,285,309,0,375,154,529,2021,65
1201005,Chester 01,Great Falls High,379,197,182,0,155,194,298,2021,30
1201006,Chester 01,Lewisville High,358,160,198,0,88,231,210,2021,39
1201008,Chester 01,Lewisville Middle,426,201,225,0,127,252,290,2021,47
1201011,Chester 01,Great Falls Elem,318,162,156,0,130,149,276,2021,39
1201014,Chester 01,Lewisville Elem,500,227,273,0,136,301,379,2021,63
1201018,Chester 01,Chester Park Elem Of Inquiry,420,185,235,0,323,55,394,2021,42
1201020,Chester 01,Chester Park Elem Sch for the Arts,362,198,164,0,135,167,305,2021,60
1201021,Chester 01,Chester Park Elem Literacy/Tec,361,161,200,0,260,71,327,2021,30
1201601,Chester 01,Academy for Teaching Charter,336,184,152,0,57,272,227,2021,7
1301001,Chesterfield 01,Cheraw High,613,308,305,0,323,228,452,2021,62
1301002,Chesterfield 01,Chesterfield High,442,226,216,0,130,284,268,2021,28
1301005,Chesterfield 01,Long Middle,464,214,250,0,286,141,379,2021,37
1301006,Chesterfield 01,McBee High,512,268,244,0,91,364,338,2021,57
1301007,Chesterfield 01,Central High,597,293,304,0,248,236,451,2021,113
1301008,Chesterfield 01,New Heights Middle,528,233,295,0,195,220,405,2021,113
1301012,Chesterfield 01,Cheraw Primary,433,210,223,0,239,154,378,2021,40
1301014,Chesterfield 01,Edwards Elem,525,257,268,0,156,306,372,2021,63
1301015,Chesterfield 01,Jefferson Elem,340,148,192,0,83,201,258,2021,56
1301019,Chesterfield 01,Petersburg Primary,357,196,161,0,162,79,313,2021,116
1301020,Chesterfield 01,McBee Elem,336,171,165,0,59,220,245,2021,57
1301021,Chesterfield 01,Plainview Elem,177,81,96,0,0,163,110,2021,14
1301023,Chesterfield 01,Ruby Elem,266,126,140,0,37,196,180,2021,33
1301026,Chesterfield 01,Cheraw Intermed,454,231,223,0,260,149,374,2021,45
1301027,Chesterfield 01,Pageland Elem,356,164,192,0,142,100,300,2021,114
1301028,Chesterfield 01,Chesterfield Ruby Middle,424,212,212,0,121,261,296,2021,42
1401001,Clarendon 01,Scotts Branch High,204,100,104,0,191,8,183,2021,5
1401005,Clarendon 01,Dr. Rose H. Wilder Elementary,142,65,77,0,126,8,135,2021,8
1401020,Clarendon 01,Scott's Branch Middle,172,86,86,0,155,12,161,2021,5
1401022,Clarendon 01,Summerton Early Childhood Ctr,152,83,69,0,136,7,140,2021,9
1402007,Clarendon 02,Manning High,816,414,402,0,497,230,663,2021,89
1402011,Clarendon 02,Manning Junior High,420,197,223,0,267,114,366,2021,39
1402012,Clarendon 02,Manning Primary,340,165,175,0,207,100,310,2021,33
1402013,Clarendon 02,Manning Elem,578,274,304,0,380,136,525,2021,62
1402014,Clarendon 02,Manning Early Childhood Ctr,450,237,213,0,265,124,397,2021,61
1403016,Clarendon 03,East Clarendon Middle-High,700,340,360,0,153,502,419,2021,45
1403019,Clarendon 03,Walker-Gamble Elem,539,266,273,0,121,375,349,2021,43
1501005,Colleton 01,Colleton County High,1347,698,649,0,632,568,1037,2021,147
1501006,Colleton 01,Bells Elem,319,147,172,0,155,115,283,2021,49
1501008,Colleton 01,Black St Early Childhood Ctr,342,167,175,0,168,131,303,2021,43
