ReportCardYear,DistrictNm,SchoolNm,SCHOOLID,SCHOOLTYPECD,StudentsinPoverty_PctCurrYr,StudentsinPoverty_PctLastYr,TCHSALARY_AvgCurrYr,TCHSALARY_AvgLastYr,ExpendforInstruct_PctCurrYr,ExpendforInstruct_PctLastYr,ExpendforTchSalaries_PctCurrYr,ExpendforTchSalaries_PctLastYr,AdminSalary_CurrYr,AdminSalary_LastYr,StateLocalPersonnelPPE_CurrYr,StateLocalPersonnelPPE_LastYr,FedPersonnelPPE_CurrYr,FedPersonnelPPE_LastYr,StateLocalNonPersPPE_CurrYr,StateLocalNonPersPPE_LastYr,FederalNonPersonnelPPE_CurrYr,FederalNonPersonnelPPE_LastYr,TotalStateLocalPPE_CurrYr,TotalStateLocalPPE_LastYr,TotalFederalPPE_CurrYr,TotalFederalPPE_LastYr,TotalPPE_CurrYr,TotalPPE_LastYr
2019,Anderson School District One,Hunt Meadows Elementary,0401014,E,53.5,48.7,"$49,375","$47,567",,,,,"$97,994","$94,324","$6,118",N/A,$376,N/A,$646,N/A,$198,N/A,"$6,764",N/A,$573,N/A,"$7,337",
2019,Anderson School District One,Powdersville Middle,0401061,M,44.67,42.4,"$48,253","$47,903",,,,,"$97,994","$94,324","$5,820",N/A,$221,N/A,$803,N/A,$223,N/A,"$6,623",N/A,$444,N/A,"$7,067",
2019,Anderson School District One,Powdersville Elementary School,0401062,E,44.6,45.1,"$47,591","$48,193",,,,,"$97,994","$94,324","$5,616",N/A,$359,N/A,$639,N/A,$211,N/A,"$6,256",N/A,$569,N/A,"$6,825",
2019,Anderson School District One,Anderson School District One,0401999,D,50.69,50.0,"$49,547","$49,754",$59,$59,$51,$55,"$97,994","$94,324","$6,164",N/A,$502,N/A,$791,N/A,$271,N/A,"$6,955",N/A,$773,N/A,"$7,728","$8,130"
2019,Anderson County School District Two,Belton Honea Path High School,0402012,H,52.62,50.2,"$50,472","$49,016",,,,,"$82,894","$80,424","$6,121",N/A,$628,N/A,"$1,771",N/A,$333,N/A,"$7,892",N/A,$961,N/A,"$8,854",
2019,Anderson County School District Two,Belton Elementary School,0402013,E,71.46,69.4,"$44,034","$43,635",,,,,"$82,894","$80,424","$6,064",N/A,$635,N/A,"$1,087",N/A,$506,N/A,"$7,152",N/A,"$1,141",N/A,"$8,292",
2019,Anderson County School District Two,Belton Middle School,0402014,M,64.44,64.0,"$45,911","$44,728",,,,,"$82,894","$80,424","$6,611",N/A,$717,N/A,"$1,308",N/A,$366,N/A,"$7,918",N/A,"$1,084",N/A,"$9,002",
2019,Anderson County School District Two,Marshall Primary School,0402015,P,78.06,75.5,"$46,809","$47,938",,,,,"$82,894","$80,424","$6,735",N/A,$787,N/A,"$1,753",N/A,$663,N/A,"$8,488",N/A,"$1,450",N/A,"$9,937",
2019,Anderson County School District Two,Honea Path Elementary School,0402018,E,72.13,69.8,"$45,732","$44,687",,,,,"$82,894","$80,424","$6,378",N/A,"$1,064",N/A,"$1,726",N/A,$649,N/A,"$8,104",N/A,"$1,713",N/A,"$9,817",
2019,Anderson County School District Two,Honea Path Middle School,0402019,M,64.27,60.2,"$50,662","$48,652",,,,,"$82,894","$80,424","$7,936",N/A,$796,N/A,"$1,614",N/A,$415,N/A,"$9,550",N/A,"$1,210",N/A,"$10,760",
